name,address_line1,address_line2,city,state,zip,phone,Latitude,Longitude,web_address,recognition_status,patient_type,delivery_mode
Florida Department of Health-Hillsborough County,4704-B W Montgomery Ave.,None,Tampa ,FL,33616,(813) 307-8009,27.8769044,-82.5228535,Unavailable,Pending,Public Employees ,Distance Learning
Hillsborough County Florida Well4Life Program,601 E. Kennedy Blvd.,Attn. Cheryl Murphy 17th Floor,Tampa ,FL,33602,(813) 274-6777,27.948378700000003,-82.45471599999998,Unavailable,Preliminary,Employees ,In-Person
Just For Ladies Incorporated,10150 Highland,Suite 200,Tampa ,FL,33610,(813) 975-7241,27.9840675,-82.33254319999998,Unavailable,Full,Public ,In-Person
Tampa Metropolitan Area YMCA,110 East Oak Ave.,None,Tampa,FL,33602,(813) 922-2808,27.961606899999996,-82.45991679999999,http://www.tampaymca.org,Full,Public ,In-Person
Tampa General Hospital,1 Tampa General Cir.,None,Tampa Fl,FL,33606,(813) 844-7857,27.9378917,-82.4596206,http://www.tgh.org,Full,Public ,In-Person
The Villages Health USF Health Community Center,1040 Lake Sumter Landing,None,The Villages,FL,32162,(352) 753-6200,28.908063300000002,-81.97314320000001,Unavailable,Full,Public ,In-Person
SKY Family YMCA,701 Center Rd,None,Venice,FL,34285,(941) 492-9622,27.0805478,-82.400099,http://www.southcountyfamilyymca.org,Full,Public ,In-Person
St. Mary's Medical Center,5325 Greenwood Ave.,Suite 101,West Palm Beach,FL,33407,(561) 840-6065,26.7583919,-80.0621363,Unavailable,Pending,Public Employees ,In-Person
Baycare- Winter Haven Hospital,"200 Ave. F, N. E.",None,Winter Haven,FL,33881-4131,(863) 293-1121  Ext: 3478 ,28.0279017,-81.72549740000001,Unavailable,Preliminary,Public ,In-Person
Kosrae Community Health Center,Suite 101,KDC Building,Kosrae ,FM,96944,(691) 370-2011  Ext: 202 ,32.747045799999995,-97.2145497,Unavailable,Pending,Public ,Distance Learning
Kosrae Community Health Center  (KCHC),Hospital Rd.,None,"Tofol, Kosrae",FM,96944,(691) 370-2011,37.4096646,-95.7085129,Unavailable,Preliminary,Public ,In-Person
Chuuk Community Health Center,124 Nepukos St.,None,"Weno, Chuuk",FM,96942,(691) 931-9607,,,Unavailable,Pending,Public ,In-Person
Chuuk Women's Council,Nepukos,None,"Weno,chuuk ",FM,96942-1627,(691) 330-8397,7.443888899999998,151.8386111,Unavailable,Preliminary,Public Employees ,In-Person
Horizons Community Solutions,810 13th Ave.,Suite 105,Albany ,GA,31701,(229) 352-9100,31.605705199999996,-84.16820129999998,Unavailable,Pending,Public ,In-Person
Phoebe Putney Memorial Hospital,417 Third Ave.,None,Albany ,GA,31701,(229) 312-1392,40.7426011,-73.97990920000001,Unavailable,Preliminary,Employees ,In-Person
Southwest Georgia Public Health District,1109 North Jackson St.,None,Albany ,GA,31701-2022,(229) 352-4275  Ext: 6502 ,39.7754347,-105.2328969,Unavailable,Full,Public Employees Other ,In-Person
Southwest Georgia Public Health District,1109 North Jackson St.,None,Albany ,GA,31701,(229) 352-4275  Ext: 6515 ,39.7754347,-105.2328969,Unavailable,Pending,Public Employees ,Distance Learning
Bacon County Hospital and Health System,302 S Wayne St.,None,Alma ,GA,31510,(912) 632-8961,31.539346500000004,-82.4589436,Unavailable,Pending,Employees ,In-Person
University of Georgia Extension,202 Hoke Smith Annex,300 Carlton St.,Athens ,GA,30602,(706) 542-3773,33.943912899999994,-83.37895520000001,Unavailable,Pending,Public Employees ,In-Person
Emory,1599 Clifton Rd. NE,None,Atlanta ,GA,30322,(404) 712-3775,33.7811458,-84.3231936,Unavailable,Pending,Employees ,In-Person
Family Health Centers of Georgia,868 York Ave. SW,None,Atlanta ,GA,30310,(404) 752-1400,33.736796000000005,-84.41637399999998,Unavailable,Pending,Public Employees ,In-Person
Georgia Department of Public Health- State Office,2 Peachtree St. NW,None,Atlanta ,GA,30303,(404) 657-6636,33.754158200000006,-84.3905886,Unavailable,Preliminary,Employees ,In-Person
Georgia State University,75 Piedmont Ave. NE,Suite 360,Atlanta ,GA,30303,(404) 413-3342,33.7567065,-84.381896,Unavailable,Pending,Employees ,In-Person
"Grady Health System, Diabetes Center",80 Jesse Hill Junior Dr. SE,None,Atlanta ,GA,30303,(404) 616-6015,33.7517652,-84.38196690000001,Unavailable,Pending,Public Employees ,In-Person
Kaiser Permanente,"3495 Piedmont Rd., NE",Building Nine,Atlanta ,GA,30305-1736,(404) 364-4882,33.8521935,-84.37556149999998,Unavailable,Full,Other ,In-Person
YMCA of Metro Atlanta,"100 Edgewood Drive, Suite 1100",None,Atlanta,GA,30303,(404) 527-7690,33.754755700000004,-84.38553890000001,http://www.ymcaatlanta.org,Preliminary,Public ,In-Person
East Central Health District,1916 North Leg Rd.,None,Augusta ,GA,30909,(706) 667-4283,33.4561557,-82.06582440000001,Unavailable,Pending,Public Employees ,In-Person
University Health Care System,1350 Walton Way,None,Augusta ,GA,30901-2612,(706) 868-3241,33.4711803,-81.9830535,Unavailable,Pending,Employees ,In-Person
The Balm In Gilead - SDFI Georgia,2101 Albany St.,None,Brunswick ,GA,31520,(804) 644-2256,31.158717499999998,-81.4928343,Unavailable,Preliminary,Public ,In-Person
Angels of Grace Community Wellness Center,91 Martin Luther King Jr Ave.,None,Cairo ,GA,39828,(229) 397-9355,41.503464,-90.5866098,Unavailable,Pending,Public ,Combination
"Bethesda Community Clinic, Inc.","111 Mountain Brook Dr., Suite 100",None,Canton ,GA,30115,(678) 880-9654,34.178202299999995,-84.50496559999998,Unavailable,Pending,Public ,In-Person
Tanner Medical Center,705 Dixie St.,None,Carrollton,GA,30117,(770) 836-9282,33.5696655,-85.0744813,http://www.tanner.org,Full,Public ,In-Person
University of West Georgia,"Sport Management, Wellness and Physical Education",1601 Maple St.,Carrollton ,GA,30118,(678) 839-6194,,,Unavailable,Pending,Public Employees ,In-Person
Piedmont Columbus Regional,710 Center St.,None,Columbus ,GA,31901,(706) 571-1000  Ext: 1058 ,32.480438,-84.9812913,Unavailable,Full,Public ,In-Person
West Central Health District,2100 Comer Ave.,None,Columbus ,GA,31902,(706) 321-6108,32.483612,-84.978822,Unavailable,Pending,Public ,Distance Learning
North Georgia Health District 1-2,1710 Whitehouse Ct.,None,Dalton ,GA,30720,(706) 529-5757,34.7984215,-84.98481149999998,Unavailable,Full,Employees ,In-Person
DeKalb County Board of Health (DCBOH),445 Winn Way,Box 987,Decatur ,GA,30031,(404) 508-7847,33.78674470000001,-84.278697,Unavailable,Preliminary,Public Employees Members ,In-Person
Midha Medical Clinic,2680 Lawrenceville Hwy.,None,Decatur,GA,30033,(770) 492-8665,33.824591999999996,-84.2603501,Unavailable,Preliminary,Public ,In-Person
FLEX Against Diabetes,4505 Bryten Dr.,None,Douglasville ,GA,30135,(470) 273-9829,33.65854470000001,-84.72276059999999,Unavailable,Pending,Public Employees Other ,In-Person
Elbert Memorial Hospital,4 Medical Dr.,None,Elberton ,GA,30635,(706) 213-2529  Ext: 2529 ,,,Unavailable,Pending,Public ,In-Person
Northeast Georgia Medical Center,675 White Sulphur Rd.,Suite 260,Gainesville ,GA,30506,(770) 219-0887,34.320711100000004,-83.7956647,Unavailable,Full,Public ,In-Person
Wynn's Pharmacy,566 S 8th St.,None,Griffin ,GA,30224,(770) 467-6500,33.2409522,-84.2653899,Unavailable,Pending,Public ,In-Person
"Get Fit With Jackie Fitness, LLC",2991 Old Lodge Rd.,None,Hephzibah ,GA,30815,(706) 399-1068,33.2955385,-82.11674239999998,Unavailable,Preliminary,Public ,In-Person
DRUGBUDDIES PHARMACY,6457 TARA BLVS STE 7,None,Jonesboro ,GA,30236,(678) 519-2030,33.578137,-84.3741448,Unavailable,Pending,Public Employees Members Other ,In-Person
Healing Our Village of Maryland Inc,560 Hwy. 138 SW,None,Jonesboro ,GA,30238,(703) 795-1983,33.53521660000001,-84.37283070000001,Unavailable,Full,Public Employees Members ,Distance Learning
Kennesaw State University,1000 Chastain Rd.,None,Kennesaw ,GA,30144,(470) 578-5535,34.038296,-84.5830609,Unavailable,Pending,Employees ,In-Person
District 4 Public Health,301 Main St.,None,Lagrange ,GA,30240,(706) 845-4035,37.7895974,-122.3911965,Unavailable,Preliminary,Public Employees ,In-Person
"Diabetes You Can Win Foundation, Inc",279 West Crogan St.,None,Lawrenceville ,GA,30046,(404) 396-4417,33.9559545,-83.9907528,Unavailable,Pending,Public Employees ,In-Person
GNR Health Department,2750 Riverside Pkwy.,None,Lawrenceville ,GA,30046,(770) 339-4260,33.955709999999996,-84.0294448,Unavailable,Pending,Public ,In-Person
Renew and Live Diabetes Education,279 West Crogan St.,None,Lawrenceville ,GA,30046,(404) 396-4417,33.9559545,-83.9907528,Unavailable,Pending,Public Employees ,In-Person
Lula Pharmacy & Foothills Gift Shop,6102 Banks St.,None,Lula ,GA,30554-5114,(770) 869-3616,34.3899667,-83.6631063,Unavailable,Pending,Public ,In-Person
Naturally Made LLC,2886 Sandy Plains Rd.,965092,Marietta ,GA,30066,(770) 744-2853,34.0203388,-84.4888678,http://www.NaturallyMadeLifestyle.com/program,Pending,Public ,Distance Learning
Faith In Serving Humanity (FISH) clinic,403 Lakeshore Dr.,None,Monroe ,GA,30655,(678) 689-9934  Ext: 4 ,37.74775,-89.07205440000001,Unavailable,Pending,Public ,Combination
Colquitt Regional Medical Center,3131 S. Main St.,None,Moultrie ,GA,31768,(229) 456-0183,31.125797600000002,-83.7803079,Unavailable,Pending,Employees ,In-Person
Floyd Diabetes Prevention Program,304 Turner McCall Blvd.,"330 Physicians Center Bldg, Suite 104",Rome ,GA,30165,(706) 509-5184,34.2592219,-85.17846390000001,Unavailable,Full,Public ,In-Person
City of Savannah Employee Health,1375 Chatham Pkwy.,2nd Floor City of Savannah Human Resources,Savannah ,GA,31405,(912) 651-6484,32.0594266,-81.16385059999999,Unavailable,Pending,Employees ,In-Person
Coastal Health District,"400 Mall Blvd., Suite G",None,Savannah ,GA,31419,(912) 644-5818,32.0025872,-81.11071439999998,Unavailable,Pending,Public ,In-Person
St. Joseph's-Candler Diabetes Management,836 E. 65th Streeet,Medcal Arts #6,Savannah ,GA,31405,(912) 819-6146,32.0311284,-81.09443590000001,Unavailable,Full,Public ,In-Person
Legacy Medical LLC,5422 Cumming Hwy. NE,Suite 104,Sugar Hill,GA,30518,(678) 466-9193,34.111261600000006,-84.05596849999998,Unavailable,Pending,Public ,Combination
Bell's Family Pharmacy,4875A Hwy. 53 E,None,Tate ,GA,30177,(678) 454-2300,34.41385770000001,-84.3874069,Unavailable,Pending,Public ,In-Person
Ruby A. Neeson Diabetes Awareness Foundation,4213 Fellowship Rd. Suite C,None,Tucker ,GA,30084,(404) 838-1620,33.8535489,-84.2177109,Unavailable,Pending,Public ,In-Person
Barnes Healthcare Services,200 S. Patterson St.,None,Valdosta ,GA,31601,(229) 242-1925,40.787126799999996,-77.86864159999998,Unavailable,Full,Public ,In-Person
Houston Healthcare,233 N. Houston Rd. Ste 140D,None,Warner Robins,GA,31093,(478) 923-9771,32.620310499999995,-83.6434882,Unavailable,Pending,Public Employees ,In-Person
TakeCare Insurance Company,P.O. Box 6578,Tamuning Guam,Guam ,GU,96931,(671) 646-6956  Ext: 7129 ,,,Unavailable,Full,Members ,In-Person
Bay Clinic Inc,450 Kilauea Ave.,None,Hilo ,HI,96720,(808) 333-3600,19.7191091,-155.0825486,Unavailable,Pending,Other ,In-Person
KTA Puainako Pharmacy,50 E. Puainako St.,None,Hilo ,HI,96720,(808) 959-8700,19.693506600000003,-155.0664829,Unavailable,Pending,Public ,In-Person
Mauli Ola Nutrition Consultants,"688 Kinoole St.,  Suite 207",None,Hilo ,HI,96720,(808) 430-6735,19.717616500000002,-155.0847001,Unavailable,Pending,Public ,In-Person
Hamakua-Kohala Health,45-549 Plumeria St.,None,Honokaa ,HI,96727,(808) 775-7204,20.0758328,-155.4700282,Unavailable,Full,Public ,In-Person
National Kidney Foundation of Hawaii,1314 S. King St.,1555,Honolulu ,HI,96814,(808) 589-5903,21.29936,-157.8411814,http://www.kidneyhi.org,Full,Public ,In-Person
The Queen's Health Systems,1301 Punchbowl St.,None,Honolulu ,HI,96813,(808) 691-3370,32.3455731,-80.69603190000001,http://queenshealthsystems.com,Full,Public ,In-Person
Times Pharmacy,1620 N. School St.,None,Honolulu ,HI,96817,(808) 832-8265,21.3362482,-157.86841809999999,Unavailable,Full,Public Employees ,In-Person
YMCA of Honolulu,1441 Pali Hwy.,Metro Office,Honolulu ,HI,96813,(808) 531-3558,21.313395,-157.855069,http://www.ymcahonolulu.org/,Full,Public ,In-Person
YMCA of Honolulu,1441 Pali Hwy.,None,Honolulu ,HI,96813,(808) 548-0951,21.313395,-157.855069,Unavailable,Pending,Public ,OnLine
YMCA of Honolulu,1441 Pali Hwy.,None,Honolulu ,HI,96813,(808) 541-5256,21.313395,-157.855069,http://www.ymcahonolulu.org,Pending,Public Employees Members ,Distance Learning
"Ko'olauloa Community Health and Wellness Center, Inc.",56-119 Pualalea St.,None,Kahuku ,HI,96731-2052,(808) 293-9231,21.6759642,-157.9535739,http://www.koolauloachc.org,Full,Public ,In-Person
West Hawaii Community Health Center,"75-5751 Kuakini Hwy., Suite 203",None,Kailua-kona ,HI,96740,(808) 326-3882,19.640467,-155.99387969999998,http://www.westhawaiichc.org,Preliminary,Public Other ,In-Person
Maui Young Men's Christian Association,250 Kanaloa Ave.,None,Kihei ,HI,96753,(808) 242-9007,20.8961155,-156.48565019999998,Unavailable,Preliminary,Public Employees Members ,In-Person
"Kauai Medical Clinic, Hawaii Pacific Health","3-3420 Kuhio Hwy., Suite - B",None,Lihue ,HI,96766,(808) 246-1380,21.9854096,-159.3644875,Unavailable,Preliminary,Public ,In-Person
Malama I Ke Ola Health Center,1881 Nani St.,None,Wailuku ,HI,96793,(808) 871-7772  Ext: 2725 ,20.888666399999998,-156.4994158,Unavailable,Preliminary,Public Employees Other ,In-Person
"Sustainable Ideation, LLC",41-902 Kaulukanu St.,None,Waimanalo ,HI,96795,(808) 721-2174,21.330616,-157.727572,Unavailable,Pending,Public Other ,In-Person
Waimanalo Health Center,41-1347 Kalanianaole Hwy.,None,Waimanalo ,HI,96795-1247,(808) 259-7948,21.3475825,-157.71605219999998,http://waimanalohealth.org,Full,Public ,In-Person
Mary Greeley Medical Center,1111 South Duff Ave.,Diabetes and Nutrition Education Department,Ames ,IA,50010,(515) 956-2880,42.012712799999996,-93.6102934,http://www.mgmc.org,Full,Public ,In-Person
St. Anthony Regional Hospital- Chronic Care Center,311 S. Clark St.,None,Carroll ,IA,51401,(712) 794-5901,42.0565188,-94.8660012,Unavailable,Full,Public Employees ,In-Person
YMCA of the Cedar Rapids Metropolitan Area,207 7th Ave. SE,None,Cedar Rapids,IA,52401,(319) 366-6421,45.458324,-98.4846842,http://www.crmetroymca.org,Full,Public ,In-Person
Mercy Medical Center-Centerville,One St. Joseph Dr.,None,Centerville ,IA,52544,(641) 437-3012,38.0322261,-84.52322769999998,http://www.mercycenterville.org/services/diabetes-education/diabetes-prevention-program-ddp.aspx,Full,Public Employees ,In-Person
Mercy Medical Center-Clinton,1410 N. 4th St.,None,Clinton ,IA,52732,(563) 244-5801,41.86134439999999,-90.1891751,Unavailable,Full,Public ,In-Person
Eagle Grove Pharmacy,311 W. Broadway,None,Eagle Grove,IA,50533,(515) 448-3814,40.72174570000001,-74.0039841,http://www.EagleGrovePharmacy.com/programs,Pending,Public ,In-Person
Avera Holy Family Wellbeing Clinic,826 N 8th St.,None,Estherville ,IA,51334-1528,(712) 362-6306,40.8165226,-91.1063587,Unavailable,Full,Public ,In-Person
UnityPoint Health-Trinity Regional Medical Center,802 Kenyon Rd.,None,Fort Dodge,IA,50501,(515) 574-6350,42.4924492,-94.1933805,http://www.unitypoint.org/fortdodge,Full,Public ,In-Person
Mills County Public Health,212 Independence,None,Glenwood ,IA,51534,(712) 527-9699,41.9504607,-88.0827862,Unavailable,Pending,Public ,In-Person
Unity Point Health-GRMC,210 4th Ave.,None,Grinnell ,IA,50112,(641) 236-2999,40.199999,-74.0105718,Unavailable,Pending,Public Employees ,In-Person
Grundy County Memorial Hospital,201 East J Ave.,None,Grundy Center,IA,50638,(319) 824-5421,42.358858500000004,-92.7649719,Unavailable,Full,Public ,In-Person
Humboldt County Memorial Hospital,1000 North 15th St.,Attn: Diabetes Center,Humboldt ,IA,50548,(515) 332-4200,42.7327583,-94.23269470000001,Unavailable,Full,Public ,In-Person
Warren County Health Services,301 N Buxton,Suite 203,Indianola ,IA,50125,(515) 961-1074,41.362879299999996,-93.5628444,Unavailable,Pending,Public Other ,In-Person
"Hy-Vee, Inc.",5820 Westown Pkwy.,West Des Moines,Iowa ,IA,50266,(515) 267-2801,41.59367,-93.78812090000001,Unavailable,Full,Public ,In-Person
The University of Iowa - Employee Well-Being,309 S. Madison St.,Campus Recreation and Wellness Center,Iowa City,IA,52242,(319) 353-2973,41.79834879999999,-87.93648909999999,Unavailable,Pending,Employees ,Combination
Greene County Medical Center Diabetes Education Center,1000 W. Lincoln Way,None,Jefferson ,IA,50129,(515) 386-2114  Ext: 334 ,42.0159506,-94.3889936,http://www.gcmchealth.com,Full,Employees ,In-Person
Marshalltown YMCA-YWCA,108 Washington Street,None,Marshalltown,IA,50158,(641) 752-8658,41.497512799999996,-71.3216166,http://ymca-ywca.org,Full,Public ,In-Person
Cerro Gordo County Department of Public Health,"22 North Georgia Ave., Suite 300",None,Mason City,IA,50401,(641) 421-9303,43.152138799999996,-93.19664,Unavailable,Full,Public ,In-Person
MercyOne North Iowa Medical Center,1000 4th St. SW,"McAuley Hall, 2nd Floor",Mason City,IA,50401,(641) 428-6609,43.1485571,-93.21607,Unavailable,Pending,Public ,In-Person
UnityPoint Health-Trinity Muscatine Public Health,1609 Cedar St.,None,Muscatine ,IA,52761,(563) 263-0122,37.8772605,-122.28003190000001,http://www.unitypoint.org/quadcities/muscatine-public-health.aspx,Preliminary,Members ,In-Person
Community Health Partners of Sioux County,211 Central Ave.  SE,None,Orange City,IA,51041,(712) 737-2971,35.083828600000004,-106.645972,https://preventdiabetesnwiowa.org/,Full,Public ,In-Person
Dallas County Hospital,610 10th St.,None,Perry ,IA,50220-2249,(515) 465-7512,32.688027500000004,-117.1854088,Unavailable,Full,Public ,In-Person
UnityPoint Health-St. Luke's,2720 Stone Park Blvd.,None,Sioux City,IA,51104,(712) 279-3500,42.5194638,-96.4059744,http://unitypoint.org,Full,Public ,In-Person
Meskwaki Health Clinic,1646 305th St.,None,Tama ,IA,52339,(641) 484-4094  Ext: 9421 ,41.9956537,-92.63945140000001,Unavailable,Pending,Public Employees Other ,In-Person
Cedar County Public Health,400 Cedar St.,None,Tipton ,IA,52772,(563) 886-2226,27.975906199999997,-82.79939830000001,http://www.cedarcounty.org,Full,Public ,In-Person
Virginia Gay Hospital,502 N 9th Ave.,None,Vinton ,IA,52349,(319) 472-6200,42.10500089999999,-91.9753128,Unavailable,Pending,Employees ,In-Person
Family YMCA of Black Hawk County,669 South Hackett Rd.,None,Waterloo ,IA,50701,(319) 233-3531,42.5047753,-92.3959426,http://www.blackhawkymca.org,Preliminary,Public ,In-Person
Bremer County Health Department,403 3rd St. SE,None,Waverly ,IA,50677-3513,(319) 352-0082,38.8850241,-77.00204120000001,http://www.co.bremer.ia.us,Pending,Public ,In-Person
Pharmacy on 8th LLC,221 8th Ave.,None,Wellman ,IA,52356,(319) 646-3388,40.66967,-73.97554190000001,Unavailable,Pending,Public ,In-Person
Lost Rivers Medical Center,551 Highland Dr.,None,Arco ,ID,83213-5003,(208) 252-7655  Ext: 300 ,35.297651,-120.676231,Unavailable,Pending,Public ,In-Person
Bingham Memorial Hospital,98 Poplar,None,Blackfoot ,ID,83211,(208) 782-4100  Ext: 2953 ,35.8640367,-86.84575869999998,http://www.binghammemorial.org/,Full,Public ,In-Person
University of Idaho Extension,5880 Glennwood St.,None,Boise ,ID,83714,(208) 287-5900,43.6589436,-116.27920619999999,Unavailable,Full,Public Employees Members Other ,In-Person
University of Idaho Extension,5880 Glenwood,None,Boise ,ID,83714,(208) 287-5900,43.6589436,-116.27920619999999,Unavailable,Pending,Public Employees Members Other ,Distance Learning
"Young Men’s Christian Association of Boise City Idaho, Inc",1150W State St. Suite 302B,None,Boise,ID,83702,(208) 344-5501,43.6209943,-116.20449850000001,http://www.ymcatvidaho.org,Full,Public ,In-Person
Southwest District Health,13307 Miami Ln.,None,Caldwell ,ID,83607,(208) 455-5341,43.605174,-116.660201,Unavailable,Full,Public ,In-Person
West Valley Medical Center,1717 Arlington Ave.,None,Caldwell ,ID,83605,(208) 402-0636,43.0322798,-83.6634551,Unavailable,Preliminary,Public ,In-Person
West Valley Medical Center,1717 Arlington Ave.,None,Caldwell ,ID,83605,(208) 453-4282,43.0322798,-83.6634551,Unavailable,Pending,Employees Other ,Distance Learning
St. Mary's Hospital,701 Lewiston St.,None,Cottonwood,ID,83522,(208) 476-4555  Ext: 8126 ,46.050639700000005,-116.35340359999998,http://www.smh-cvhc.org,Full,Public ,In-Person
North Canyon Medical Center,267 North Canyon Drive,None,Gooding,ID,83330,(208) 934-9886,42.923486200000006,-114.7109877,http://www.ncm-c.org,Full,Public ,In-Person
Luke's Family Pharmacy,101 S. Main St.,None,Hailey ,ID,83333,(208) 788-4970,41.50794399999999,-112.015704,Unavailable,Pending,Public ,In-Person
Panhandle Health District,8500 N Atlas Rd.,None,Hayden ,ID,83835,(208) 415-5175,47.749579600000004,-116.82801429999999,Unavailable,Pending,Public Employees ,Combination
Panhandle Health District,8500 N Atlas Rd.,None,Hayden ,ID,83835,(208) 415-5175,47.749579600000004,-116.82801429999999,Unavailable,Pending,Public Employees ,Distance Learning
Panhandle Health District,8500 N Atlas Rd.,None,Hayden ,ID,83835,(208) 415-5293,47.749579600000004,-116.82801429999999,http://panhandlehealthdistrict.org,Full,Public ,In-Person
Melaleuca Inc.,4609 W 65th South,None,Idaho Falls,ID,83402,(208) 534-4003  Ext: 4003 ,43.4342489,-112.1306257,Unavailable,Pending,Employees ,In-Person
Gritman Medical Center,S 700 Main,None,Moscow ,ID,83843,(208) 883-6341,,,http://gritman.org,Full,Public ,In-Person
"Clearwater Valley Hospital and Clinics, Inc.",301 Cedar St.,None,Orofino,ID,83544,(208) 476-4555,32.5966226,-96.6738985,http://www.smh-cvhc.org,Full,Public ,In-Person
Madison Memorial Hospital Diabetes Self-Management,450 East Main St.,None,Rexburg ,ID,83440,(208) 359-6524,42.698836799999995,-73.09839819999998,Unavailable,Pending,Public ,In-Person
YMCA of Berwyn-Cicero,2947 S Oak Park Ave.,None,Berwyn ,IL,60402,(708) 749-0606  Ext: 320 ,41.838536299999994,-87.7924542,http://Pavymca.org,Pending,Public ,In-Person
McLean County Health Department,200 West Front St.,None,Bloomington ,IL,61701,(309) 888-5446,43.6106019,-116.19742420000001,Unavailable,Pending,Public ,In-Person
Riverside Diabetes Wellness Center,100 Fitness Dr.,None,Bourbonnais ,IL,60914,(815) 936-6515,41.1891586,-87.8738644,Unavailable,Full,Public ,In-Person
HSHS St. Joseph's Hospital Breese,9515 Holy Cross Ln.,None,Breese ,IL,62230,(618) 526-5336,38.626290999999995,-89.52395820000001,Unavailable,Pending,Public Employees Other ,In-Person
Memorial Hospital,1900 State St.,None,Chester ,IL,62233,(618) 826-4581  Ext: 1311 ,34.430170600000004,-119.7134193,Unavailable,Preliminary,Public ,In-Person
Advocate  Trinity Hospital,2320 E. 93rd St.,None,Chicago ,IL,60617,(773) 967-5410,41.72633099999999,-87.56707270000001,Unavailable,Preliminary,Public ,In-Person
Alivio Medical Center,966 W. 21st St.,None,Chicago ,IL,60608,(773) 254-1400  Ext: 2405 ,41.8541461,-87.65103420000001,Unavailable,Pending,Public ,In-Person
Cook County Health,1950 W. Polk St.,None,Chicago ,IL,60612,(312) 796-6927,41.8717775,-87.67544970000002,Unavailable,Pending,Other ,In-Person
Erie Family Health Center,1701 W. Superior St.,3rd Floor,Chicago ,IL,60622,(312) 666-3494,41.894774700000006,-87.6700639,Unavailable,Pending,Public ,In-Person
Erie Neighborhood House,1347  W Erie St.,None,Chicago ,IL,60642,(312) 666-3430,41.8931656,-87.6613897,Unavailable,Pending,Public ,In-Person
HabitNu,"222, West Merchandise Mart Plz.",Suit 1230,Chicago ,IL,60615,(312) 566-7871,41.8884096,-87.6354498,http://habitnu.com,Full,Public ,OnLine
HabitNu,"222, West Merchandise Mart Plz.",Suite 1230,Chicago ,IL,60615,(312) 566-7871,41.8884096,-87.6354498,https://habitnu.com,Preliminary,Public ,In-Person
HabitNu,222 W MERCHANDISE MART Plz.,Suite 1230,Chicago ,IL,60654,(312) 566-7871,41.8884096,-87.6354498,http://www.habitnu.com,Full,Public ,Combination
Heartland Health Centers,3048 N. Wilton Ave.,Second Floor,Chicago ,IL,60657,(773) 296-7589,41.937738200000005,-87.6530707,Unavailable,Pending,Public ,In-Person
Howard Brown Health,641 W. 63rd St.,None,Chicago ,IL,60621,(773) 388-1600,41.7795169,-87.6413809,Unavailable,Full,Public Employees ,In-Person
Integrated Medical Center,"7045 S. Constance Ave., Unit 2B",None,Chicago ,IL,60649,(773) 454-4926,41.7665145,-87.5799875,Unavailable,Pending,Public ,In-Person
"Livongo, and its subsidiary Retrofit",444 N. Michigan Ave., Suite 3400,Chicago ,IL,60611,(855) 473-8763,41.8907059,-87.6246913,Unavailable,Full,Members ,OnLine
Mercy Hospital and Medical Center,2525 S Michigan Ave.,Community Health and Well Being,Chicago ,IL,60616,(312) 567-2614  Ext: 2614 ,41.84689729999999,-87.622765,Unavailable,Pending,Public ,In-Person
Near North Health Service Corporation,1276 N. Clybourn Ave.,None,Chicago ,IL,60610-2089,(312) 337-1073  Ext: 4200 ,41.90525359999999,-87.6422731,Unavailable,Pending,Public ,In-Person
Sinai Urban Health Institute,1500 South Fairfield St.,None,Chicago ,IL,60608,(773) 542-2000,41.8608329,-87.6945942,Unavailable,Pending,Public Employees Other ,In-Person
UI Health Mile Square Health Center,1220 South Wood St.,None,Chicago ,IL,60608,(312) 996-2000,41.866494700000004,-87.67165250000001,Unavailable,Pending,Public Employees ,In-Person
Universidad Popular,2801 S. HAMLIN Ave.,None,Chicago ,IL,60623-4554,(773) 733-5055,41.8405019,-87.7193806,Unavailable,Pending,Public Other ,In-Person
Crossing Healthcare,320 E Central Ave.,None,Decatur ,IL,62521,(217) 877-9117  Ext: 1120 ,39.8495885,-88.9529823,http://www.crossinghealthcare.org,Preliminary,Public Other ,In-Person
Decatur Family YMCA,220 W. McKinley Ave.,None,Decatur ,IL,62526,(217) 872-9622  Ext: 121 ,39.8707122,-88.96076090000001,Unavailable,Pending,Public Employees Members Other ,In-Person
Advocate Sherman Hospital,1425 N. Randall Rd.,None,Elgin ,IL,60123,(224) 783-3450,42.07042,-88.33100300000001,Unavailable,Pending,Public Employees Other ,In-Person
AMITA Health Saint Joseph Hospital-Elgin,77 N. Airlite St.,None,Elgin ,IL,60123,(847) 622-2097,42.03539979999999,-88.32579750000002,Unavailable,Full,Public Other ,In-Person
Edward-Elmhurst Health-Jumpstart Your Health,155 E. Brush Hill Rd.,None,Elmhurst ,IL,60126,(331) 221-0429,41.86401970000001,-87.9358675,Unavailable,Full,Public ,In-Person
"A Work of Faith Ministries, Inc.",1932 Dewey Ave.,None,Evanston ,IL,60201,(872) 216-7058,42.053396500000005,-87.6961245,https://awofinc.wixsite.com/awofinc,Pending,Public Employees Members ,In-Person
Clay County Hospital,911 Stacy Burk Dr.,None,Flora ,IL,62839,(618) 662-2131,38.680854700000005,-88.4727698,Unavailable,Full,Public ,In-Person
Northwestern Medicine Delnor Hospital,300 Randall Rd.,None,Geneva ,IL,60134,(630) 315-1700,41.886284499999995,-88.34354509999999,Unavailable,Full,Public ,In-Person
