Name,Address Line 1,Address Line 2,City,State,Zip,Phone,Web Address,Recognition Status,Class open To,Delivery Mode
North Georgia Health District 1-2,1710 Whitehouse Ct.,,Dalton ,GA,30720,(706) 529-5757,,Full,Employees ,In-Person
DeKalb County Board of Health (DCBOH),445 Winn Way,Box 987,Decatur ,GA,30031,(404) 508-7847,,Preliminary,Public Employees Members ,In-Person
Midha Medical Clinic,2680 Lawrenceville Hwy.,,Decatur,GA,30033,(770) 492-8665,,Preliminary,Public ,In-Person
FLEX Against Diabetes,4505 Bryten Dr.,,Douglasville ,GA,30135,(470) 273-9829,,Pending,Public Employees Other ,In-Person
Elbert Memorial Hospital,4 Medical Dr.,,Elberton ,GA,30635,(706) 213-2529  Ext: 2529 ,,Pending,Public ,In-Person
Northeast Georgia Medical Center,675 White Sulphur Rd.,Suite 260,Gainesville ,GA,30506,(770) 219-0887,,Full,Public ,In-Person
Wynn's Pharmacy,566 S 8th St.,,Griffin ,GA,30224,(770) 467-6500,,Pending,Public ,In-Person
"Get Fit With Jackie Fitness, LLC",2991 Old Lodge Rd.,,Hephzibah ,GA,30815,(706) 399-1068,,Preliminary,Public ,In-Person
DRUGBUDDIES PHARMACY,6457 TARA BLVS STE 7,,Jonesboro ,GA,30236,(678) 519-2030,,Pending,Public Employees Members Other ,In-Person
Healing Our Village of Maryland Inc,560 Hwy. 138 SW,,Jonesboro ,GA,30238,(703) 795-1983,,Full,Public Employees Members ,Distance Learning
Kennesaw State University,1000 Chastain Rd.,,Kennesaw ,GA,30144,(470) 578-5535,,Pending,Employees ,In-Person
District 4 Public Health,301 Main St.,,Lagrange ,GA,30240,(706) 845-4035,,Preliminary,Public Employees ,In-Person
"Diabetes You Can Win Foundation, Inc",279 West Crogan St.,,Lawrenceville ,GA,30046,(404) 396-4417,,Pending,Public Employees ,In-Person
GNR Health Department,2750 Riverside Pkwy.,,Lawrenceville ,GA,30046,(770) 339-4260,,Pending,Public ,In-Person
Renew and Live Diabetes Education,279 West Crogan St.,,Lawrenceville ,GA,30046,(404) 396-4417,,Pending,Public Employees ,In-Person
Lula Pharmacy & Foothills Gift Shop,6102 Banks St.,,Lula ,GA,30554-5114,(770) 869-3616,,Pending,Public ,In-Person
Naturally Made LLC,2886 Sandy Plains Rd.,965092,Marietta ,GA,30066,(770) 744-2853,http://www.NaturallyMadeLifestyle.com/program,Pending,Public ,Distance Learning
Faith In Serving Humanity (FISH) clinic,403 Lakeshore Dr.,,Monroe ,GA,30655,(678) 689-9934  Ext: 4 ,,Pending,Public ,Combination
Colquitt Regional Medical Center,3131 S. Main St.,,Moultrie ,GA,31768,(229) 456-0183,,Pending,Employees ,In-Person
Floyd Diabetes Prevention Program,304 Turner McCall Blvd.,"330 Physicians Center Bldg, Suite 104",Rome ,GA,30165,(706) 509-5184,,Full,Public ,In-Person
City of Savannah Employee Health,1375 Chatham Pkwy.,2nd Floor City of Savannah Human Resources,Savannah ,GA,31405,(912) 651-6484,,Pending,Employees ,In-Person
Coastal Health District,"400 Mall Blvd., Suite G",,Savannah ,GA,31419,(912) 644-5818,,Pending,Public ,In-Person
St. Joseph's-Candler Diabetes Management,836 E. 65th Streeet,Medcal Arts #6,Savannah ,GA,31405,(912) 819-6146,,Full,Public ,In-Person
Legacy Medical LLC,5422 Cumming Hwy. NE,Suite 104,Sugar Hill,GA,30518,(678) 466-9193,,Pending,Public ,Combination
Bell's Family Pharmacy,4875A Hwy. 53 E,,Tate ,GA,30177,(678) 454-2300,,Pending,Public ,In-Person
Ruby A. Neeson Diabetes Awareness Foundation,4213 Fellowship Rd. Suite C,,Tucker ,GA,30084,(404) 838-1620,,Pending,Public ,In-Person
Barnes Healthcare Services,200 S. Patterson St.,,Valdosta ,GA,31601,(229) 242-1925,,Full,Public ,In-Person
Houston Healthcare,233 N. Houston Rd. Ste 140D,,Warner Robins,GA,31093,(478) 923-9771,,Pending,Public Employees ,In-Person
TakeCare Insurance Company,P.O. Box 6578,Tamuning Guam,Guam ,GU,96931,(671) 646-6956  Ext: 7129 ,,Full,Members ,In-Person
Bay Clinic Inc,450 Kilauea Ave.,,Hilo ,HI,96720,(808) 333-3600,,Pending,Other ,In-Person
KTA Puainako Pharmacy,50 E. Puainako St.,,Hilo ,HI,96720,(808) 959-8700,,Pending,Public ,In-Person
Mauli Ola Nutrition Consultants,"688 Kinoole St.,  Suite 207",,Hilo ,HI,96720,(808) 430-6735,,Pending,Public ,In-Person
Hamakua-Kohala Health,45-549 Plumeria St.,,Honokaa ,HI,96727,(808) 775-7204,,Full,Public ,In-Person
National Kidney Foundation of Hawaii,1314 S. King St.,1555,Honolulu ,HI,96814,(808) 589-5903,http://www.kidneyhi.org,Full,Public ,In-Person
The Queen's Health Systems,1301 Punchbowl St.,,Honolulu ,HI,96813,(808) 691-3370,http://queenshealthsystems.com,Full,Public ,In-Person
Times Pharmacy,1620 N. School St.,,Honolulu ,HI,96817,(808) 832-8265,,Full,Public Employees ,In-Person
YMCA of Honolulu,1441 Pali Hwy.,Metro Office,Honolulu ,HI,96813,(808) 531-3558,http://www.ymcahonolulu.org/,Full,Public ,In-Person
YMCA of Honolulu,1441 Pali Hwy.,,Honolulu ,HI,96813,(808) 548-0951,,Pending,Public ,OnLine
YMCA of Honolulu,1441 Pali Hwy.,,Honolulu ,HI,96813,(808) 541-5256,http://www.ymcahonolulu.org,Pending,Public Employees Members ,Distance Learning
"Ko'olauloa Community Health and Wellness Center, Inc.",56-119 Pualalea St.,,Kahuku ,HI,96731-2052,(808) 293-9231,http://www.koolauloachc.org,Full,Public ,In-Person
West Hawaii Community Health Center,"75-5751 Kuakini Hwy., Suite 203",,Kailua-kona ,HI,96740,(808) 326-3882,http://www.westhawaiichc.org,Preliminary,Public Other ,In-Person
Maui Young Men's Christian Association,250 Kanaloa Ave.,,Kihei ,HI,96753,(808) 242-9007,,Preliminary,Public Employees Members ,In-Person
"Kauai Medical Clinic, Hawaii Pacific Health","3-3420 Kuhio Hwy., Suite - B",,Lihue ,HI,96766,(808) 246-1380,,Preliminary,Public ,In-Person
Malama I Ke Ola Health Center,1881 Nani St.,,Wailuku ,HI,96793,(808) 871-7772  Ext: 2725 ,,Preliminary,Public Employees Other ,In-Person
"Sustainable Ideation, LLC",41-902 Kaulukanu St.,,Waimanalo ,HI,96795,(808) 721-2174,,Pending,Public Other ,In-Person
Waimanalo Health Center,41-1347 Kalanianaole Hwy.,,Waimanalo ,HI,96795-1247,(808) 259-7948,http://waimanalohealth.org,Full,Public ,In-Person
Mary Greeley Medical Center,1111 South Duff Ave.,Diabetes and Nutrition Education Department,Ames ,IA,50010,(515) 956-2880,http://www.mgmc.org,Full,Public ,In-Person
St. Anthony Regional Hospital- Chronic Care Center,311 S. Clark St.,,Carroll ,IA,51401,(712) 794-5901,,Full,Public Employees ,In-Person
YMCA of the Cedar Rapids Metropolitan Area,207 7th Ave. SE,,Cedar Rapids,IA,52401,(319) 366-6421,http://www.crmetroymca.org,Full,Public ,In-Person
Mercy Medical Center-Centerville,One St. Joseph Dr.,,Centerville ,IA,52544,(641) 437-3012,http://www.mercycenterville.org/services/diabetes-education/diabetes-prevention-program-ddp.aspx,Full,Public Employees ,In-Person
Mercy Medical Center-Clinton,1410 N. 4th St.,,Clinton ,IA,52732,(563) 244-5801,,Full,Public ,In-Person
Eagle Grove Pharmacy,311 W. Broadway,,Eagle Grove,IA,50533,(515) 448-3814,http://www.EagleGrovePharmacy.com/programs,Pending,Public ,In-Person
Avera Holy Family Wellbeing Clinic,826 N 8th St.,,Estherville ,IA,51334-1528,(712) 362-6306,,Full,Public ,In-Person
UnityPoint Health-Trinity Regional Medical Center,802 Kenyon Rd.,,Fort Dodge,IA,50501,(515) 574-6350,http://www.unitypoint.org/fortdodge,Full,Public ,In-Person
Mills County Public Health,212 Independence,,Glenwood ,IA,51534,(712) 527-9699,,Pending,Public ,In-Person
Unity Point Health-GRMC,210 4th Ave.,,Grinnell ,IA,50112,(641) 236-2999,,Pending,Public Employees ,In-Person
Grundy County Memorial Hospital,201 East J Ave.,,Grundy Center,IA,50638,(319) 824-5421,,Full,Public ,In-Person
Humboldt County Memorial Hospital,1000 North 15th St.,Attn: Diabetes Center,Humboldt ,IA,50548,(515) 332-4200,,Full,Public ,In-Person
Warren County Health Services,301 N Buxton,Suite 203,Indianola ,IA,50125,(515) 961-1074,,Pending,Public Other ,In-Person
"Hy-Vee, Inc.",5820 Westown Pkwy.,West Des Moines,Iowa ,IA,50266,(515) 267-2801,,Full,Public ,In-Person
The University of Iowa - Employee Well-Being,309 S. Madison St.,Campus Recreation and Wellness Center,Iowa City,IA,52242,(319) 353-2973,,Pending,Employees ,Combination
Greene County Medical Center Diabetes Education Center,1000 W. Lincoln Way,,Jefferson ,IA,50129,(515) 386-2114  Ext: 334 ,http://www.gcmchealth.com,Full,Employees ,In-Person
Marshalltown YMCA-YWCA,108 Washington Street,,Marshalltown,IA,50158,(641) 752-8658,http://ymca-ywca.org,Full,Public ,In-Person
Cerro Gordo County Department of Public Health,"22 North Georgia Ave., Suite 300",,Mason City,IA,50401,(641) 421-9303,,Full,Public ,In-Person
MercyOne North Iowa Medical Center,1000 4th St. SW,"McAuley Hall, 2nd Floor",Mason City,IA,50401,(641) 428-6609,,Pending,Public ,In-Person
UnityPoint Health-Trinity Muscatine Public Health,1609 Cedar St.,,Muscatine ,IA,52761,(563) 263-0122,http://www.unitypoint.org/quadcities/muscatine-public-health.aspx,Preliminary,Members ,In-Person
Community Health Partners of Sioux County,211 Central Ave.  SE,,Orange City,IA,51041,(712) 737-2971,https://preventdiabetesnwiowa.org/,Full,Public ,In-Person
Dallas County Hospital,610 10th St.,,Perry ,IA,50220-2249,(515) 465-7512,,Full,Public ,In-Person
UnityPoint Health-St. Luke's,2720 Stone Park Blvd.,,Sioux City,IA,51104,(712) 279-3500,http://unitypoint.org,Full,Public ,In-Person
Meskwaki Health Clinic,1646 305th St.,,Tama ,IA,52339,(641) 484-4094  Ext: 9421 ,,Pending,Public Employees Other ,In-Person
Cedar County Public Health,400 Cedar St.,,Tipton ,IA,52772,(563) 886-2226,http://www.cedarcounty.org,Full,Public ,In-Person
Virginia Gay Hospital,502 N 9th Ave.,,Vinton ,IA,52349,(319) 472-6200,,Pending,Employees ,In-Person
Family YMCA of Black Hawk County,669 South Hackett Rd.,,Waterloo ,IA,50701,(319) 233-3531,http://www.blackhawkymca.org,Preliminary,Public ,In-Person
Bremer County Health Department,403 3rd St. SE,,Waverly ,IA,50677-3513,(319) 352-0082,http://www.co.bremer.ia.us,Pending,Public ,In-Person
Pharmacy on 8th LLC,221 8th Ave.,,Wellman ,IA,52356,(319) 646-3388,,Pending,Public ,In-Person
Lost Rivers Medical Center,551 Highland Dr.,,Arco ,ID,83213-5003,(208) 252-7655  Ext: 300 ,,Pending,Public ,In-Person
Bingham Memorial Hospital,98 Poplar,,Blackfoot ,ID,83211,(208) 782-4100  Ext: 2953 ,http://www.binghammemorial.org/,Full,Public ,In-Person
University of Idaho Extension,5880 Glennwood St.,,Boise ,ID,83714,(208) 287-5900,,Full,Public Employees Members Other ,In-Person
University of Idaho Extension,5880 Glenwood,,Boise ,ID,83714,(208) 287-5900,,Pending,Public Employees Members Other ,Distance Learning
"Young Men’s Christian Association of Boise City Idaho, Inc",1150W State St. Suite 302B,,Boise,ID,83702,(208) 344-5501,http://www.ymcatvidaho.org,Full,Public ,In-Person
Southwest District Health,13307 Miami Ln.,,Caldwell ,ID,83607,(208) 455-5341,,Full,Public ,In-Person
West Valley Medical Center,1717 Arlington Ave.,,Caldwell ,ID,83605,(208) 402-0636,,Preliminary,Public ,In-Person
West Valley Medical Center,1717 Arlington Ave.,,Caldwell ,ID,83605,(208) 453-4282,,Pending,Employees Other ,Distance Learning
St. Mary's Hospital,701 Lewiston St.,,Cottonwood,ID,83522,(208) 476-4555  Ext: 8126 ,http://www.smh-cvhc.org,Full,Public ,In-Person
North Canyon Medical Center,267 North Canyon Drive,,Gooding,ID,83330,(208) 934-9886,http://www.ncm-c.org,Full,Public ,In-Person
Luke's Family Pharmacy,101 S. Main St.,,Hailey ,ID,83333,(208) 788-4970,,Pending,Public ,In-Person
Panhandle Health District,8500 N Atlas Rd.,,Hayden ,ID,83835,(208) 415-5175,,Pending,Public Employees ,Combination
Panhandle Health District,8500 N Atlas Rd.,,Hayden ,ID,83835,(208) 415-5175,,Pending,Public Employees ,Distance Learning
Panhandle Health District,8500 N Atlas Rd.,,Hayden ,ID,83835,(208) 415-5293,http://panhandlehealthdistrict.org,Full,Public ,In-Person
Melaleuca Inc.,4609 W 65th South,,Idaho Falls,ID,83402,(208) 534-4003  Ext: 4003 ,,Pending,Employees ,In-Person
Gritman Medical Center,S 700 Main,,Moscow ,ID,83843,(208) 883-6341,http://gritman.org,Full,Public ,In-Person
"Clearwater Valley Hospital and Clinics, Inc.",301 Cedar St.,,Orofino,ID,83544,(208) 476-4555,http://www.smh-cvhc.org,Full,Public ,In-Person
Madison Memorial Hospital Diabetes Self-Management,450 East Main St.,,Rexburg ,ID,83440,(208) 359-6524,,Pending,Public ,In-Person
YMCA of Berwyn-Cicero,2947 S Oak Park Ave.,,Berwyn ,IL,60402,(708) 749-0606  Ext: 320 ,http://Pavymca.org,Pending,Public ,In-Person
McLean County Health Department,200 West Front St.,,Bloomington ,IL,61701,(309) 888-5446,,Pending,Public ,In-Person
Riverside Diabetes Wellness Center,100 Fitness Dr.,,Bourbonnais ,IL,60914,(815) 936-6515,,Full,Public ,In-Person
HSHS St. Joseph's Hospital Breese,9515 Holy Cross Ln.,,Breese ,IL,62230,(618) 526-5336,,Pending,Public Employees Other ,In-Person
Memorial Hospital,1900 State St.,,Chester ,IL,62233,(618) 826-4581  Ext: 1311 ,,Preliminary,Public ,In-Person
Advocate  Trinity Hospital,2320 E. 93rd St.,,Chicago ,IL,60617,(773) 967-5410,,Preliminary,Public ,In-Person
Alivio Medical Center,966 W. 21st St.,,Chicago ,IL,60608,(773) 254-1400  Ext: 2405 ,,Pending,Public ,In-Person
Cook County Health,1950 W. Polk St.,,Chicago ,IL,60612,(312) 796-6927,,Pending,Other ,In-Person
Erie Family Health Center,1701 W. Superior St.,3rd Floor,Chicago ,IL,60622,(312) 666-3494,,Pending,Public ,In-Person
Erie Neighborhood House,1347  W Erie St.,,Chicago ,IL,60642,(312) 666-3430,,Pending,Public ,In-Person
HabitNu,"222, West Merchandise Mart Plz.",Suit 1230,Chicago ,IL,60615,(312) 566-7871,http://habitnu.com,Full,Public ,OnLine
HabitNu,"222, West Merchandise Mart Plz.",Suite 1230,Chicago ,IL,60615,(312) 566-7871,https://habitnu.com,Preliminary,Public ,In-Person
HabitNu,222 W MERCHANDISE MART Plz.,Suite 1230,Chicago ,IL,60654,(312) 566-7871,http://www.habitnu.com,Full,Public ,Combination
Heartland Health Centers,3048 N. Wilton Ave.,Second Floor,Chicago ,IL,60657,(773) 296-7589,,Pending,Public ,In-Person
Howard Brown Health,641 W. 63rd St.,,Chicago ,IL,60621,(773) 388-1600,,Full,Public Employees ,In-Person
Integrated Medical Center,"7045 S. Constance Ave., Unit 2B",,Chicago ,IL,60649,(773) 454-4926,,Pending,Public ,In-Person
"Livongo, and its subsidiary Retrofit",444 N. Michigan Ave., Suite 3400,Chicago ,IL,60611,(855) 473-8763,,Full,Members ,OnLine
Mercy Hospital and Medical Center,2525 S Michigan Ave.,Community Health and Well Being,Chicago ,IL,60616,(312) 567-2614  Ext: 2614 ,,Pending,Public ,In-Person
Near North Health Service Corporation,1276 N. Clybourn Ave.,,Chicago ,IL,60610-2089,(312) 337-1073  Ext: 4200 ,,Pending,Public ,In-Person
Sinai Urban Health Institute,1500 South Fairfield St.,,Chicago ,IL,60608,(773) 542-2000,,Pending,Public Employees Other ,In-Person
UI Health Mile Square Health Center,1220 South Wood St.,,Chicago ,IL,60608,(312) 996-2000,,Pending,Public Employees ,In-Person
Universidad Popular,2801 S. HAMLIN Ave.,,Chicago ,IL,60623-4554,(773) 733-5055,,Pending,Public Other ,In-Person
Crossing Healthcare,320 E Central Ave.,,Decatur ,IL,62521,(217) 877-9117  Ext: 1120 ,http://www.crossinghealthcare.org,Preliminary,Public Other ,In-Person
Decatur Family YMCA,220 W. McKinley Ave.,,Decatur ,IL,62526,(217) 872-9622  Ext: 121 ,,Pending,Public Employees Members Other ,In-Person
Advocate Sherman Hospital,1425 N. Randall Rd.,,Elgin ,IL,60123,(224) 783-3450,,Pending,Public Employees Other ,In-Person
AMITA Health Saint Joseph Hospital-Elgin,77 N. Airlite St.,,Elgin ,IL,60123,(847) 622-2097,,Full,Public Other ,In-Person
Edward-Elmhurst Health-Jumpstart Your Health,155 E. Brush Hill Rd.,,Elmhurst ,IL,60126,(331) 221-0429,,Full,Public ,In-Person
"A Work of Faith Ministries, Inc.",1932 Dewey Ave.,,Evanston ,IL,60201,(872) 216-7058,https://awofinc.wixsite.com/awofinc,Pending,Public Employees Members ,In-Person
Clay County Hospital,911 Stacy Burk Dr.,,Flora ,IL,62839,(618) 662-2131,,Full,Public ,In-Person
Northwestern Medicine Delnor Hospital,300 Randall Rd.,,Geneva ,IL,60134,(630) 315-1700,,Full,Public ,In-Person
B.R. Ryall YMCA of Northwestern DuPage,49 Deicke Dr.,,Glen Ellyn,IL,60137,(630) 858-0100,,Preliminary,Public ,In-Person
Advocate South Suburban Hospital,17800 S. Kedzie Ave.,,Hazel Crest,IL,60429,(708) 213-3006,,Full,Public ,In-Person
Rehab Connections,14901 S. Founders Crossing,,Homer Glen,IL,60491,(708) 301-3571,,Pending,Public ,In-Person
Will-Grundy Medical Clinic,213 East Cass St,,Joliet ,IL,60432,(815) 726-3377,,Pending,Public ,In-Person
YMCA of Kewanee,315 West 1st St,,Kewanee ,IL,61443,(309) 853-4431,,Pending,Public Employees Members ,In-Person
AMITA Health,2601 Navistar Drive,,Lisle,IL,60532,(224) 273-3387,,Full,Employees ,Combination
Inspera Health,701 Warrenville Rd.,Suite 250,Lisle ,IL,60532,(844) 677-3725,,Preliminary,Members ,Distance Learning
DuPage Medical Group,"1801 S. Highland Ave., Suite 130",,Lombard ,IL,60148,(630) 873-8787,,Pending,Public ,In-Person
Mattoon Area Family YMCA,221 N. 16th St.,,Mattoon ,IL,61938,(217) 234-9494,https://mattoonymca.org/diabetes-prevention-program/,Pending,Public ,In-Person
OSF Holy Family Medical Center,1000 West Harlem Ave.,,Monmouth ,IL,61462,(309) 734-1424,,Full,Public ,In-Person
Kirby Medical Center,1000 Medical Center Dr.,,Monticello ,IL,61856,(217) 762-2115,,Pending,Public ,In-Person
Wabash General Hospital Diabetes Prevention Program,1418 Collge Dr.,,Mount Carmel,IL,62863,(618) 262-8621,,Full,Members ,In-Person
North Suburban YMCA,2705 TECHNY Rd.,,Northbrook ,IL,60062,(847) 272-7250,,Pending,Public Employees Members ,In-Person
Advocate Christ Medical Center,4440 W. 95th St.,,Oak Lawn,IL,60453,(708) 684-5733,,Preliminary,Public ,In-Person
Rush Oak Park Hospital Center for Diabetes and Endocrine Care,520 South Maple Ave.,"3rd Floor, CDEC",Oak Park,IL,60304-1097,(708) 660-5900,,Full,Public ,In-Person
West Cook YMCA,255 S. Marion St.,,Oak Park,IL,60302,(708) 383-5200,http://www.westcookymca.org/,Full,Public Employees Members ,In-Person
Carle Richland Memorial Hospital,800 East Locust St.,,Olney ,IL,62450,(618) 395-7340  Ext: 4096 ,,Preliminary,Public Employees ,In-Person
YMCA of Ottawa Illinois,201 East Jackson St.,,Ottawa ,IL,61350,(815) 433-2395,,Pending,Public Employees Members ,In-Person
Pana Community Hospital,101 E 9th St.,,Pana ,IL,62557,(217) 562-6231,,Pending,Public Employees ,In-Person
Aceva - MetaLife Program,624 West Glen Ave.,,Peoria ,IL,61614,(877) 688-7241,,Full,Public ,In-Person
Hult Center for Healthy Living,5215 N. Knoxville Ave.,,Peoria ,IL,61614,(309) 672-4926,http://www.hulthealthy.org,Full,Public ,In-Person
Illinois Valley Diabetes Center for Excellence,925 West St.,,Peru ,IL,61354,(815) 780-3576,,Full,Public ,In-Person
St. Margarets Hospital,600 E 1st st,,Spring Valley,IL,61362,(815) 664-1501,,Pending,Public Employees ,In-Person
Illinois Department of Public Health,"535 W. Jefferson St., 2nd Floor",,Springfield ,IL,62761,(217) 785-5243,,Preliminary,Employees ,In-Person
Memorial & Springfield YMCA Diabetes Prevention Program,319 E. Madison,,Springfield ,IL,62701,(217) 757-7381,,Full,Public Members ,In-Person
Tazewell County Health Department,21306 IL Rt 9,,Tremont ,IL,61568-9252,(309) 925-5511,,Full,Public ,In-Person
Carle Foundation Hospital,611 W. Park St.,,Urbana ,IL,61801,(217) 383-3311,,Preliminary,Employees ,In-Person
McHenry County Department of Health,2200 N. Seminary Ave.  Building A,,Woodstock ,IL,60098,(815) 334-4510,,Preliminary,Public Employees ,In-Person
Profound Health Solutions,Relish Health,"160 West Carmel Dr., Suite 245",Carmel ,IN,46032,(317) 809-8413,,Pending,Public Employees Other ,In-Person
Profound Health Solutions,160 West Carmel Dr.,,Carmel ,IN,46032,(317) 694-6959,http://profoundhealthsolutions.com,Pending,Public Employees Other ,Distance Learning
Harrison County Hospital,1141 Hospital Dr. NW,,Corydon ,IN,47112,(812) 738-4251,,Full,Public Employees ,In-Person
Adams Memorial Hospital,1100 Mercer Ave.,,Decatur ,IN,46733,(260) 724-2145  Ext: 11107 ,,Full,Public Employees ,In-Person
Deaconess Diabetes Prevention Program,520 Mary St,STE 330,Evansville ,IN,47710,(812) 426-9895,http://www.deaconess.com,Full,Public ,In-Person
Vanderburgh County Health Department,420 Mulberry St.,,Evansville ,IN,47713-1231,(812) 435-5807,http://www.vanderburghgov.org,Full,Public ,In-Person
YMCA of Southwestern Indiana,222 NW Sixth Street ,,Evansville ,IN,47708,(812) 426-6210,http://www.ymcaswin.org,Preliminary,Public ,In-Person
YMCA of Greater Fort Wayne,"347 West Berry Street, Suite 500",,Fort Wayne,IN,46802,(260) 422-6488,https://www.fwymca.org/diabetes_prevention.php,Full,Public Other ,In-Person
Hancock Regional Hospital,801 N. State St,,Greenfield ,IN,46140,(317) 468-4379,http://www.hancockregionalhospital.org/,Full,Public ,In-Person
Eskenazi Health,"720 Eskenazi Ave., Indianapolis, IN, 46202",,Indianapolis ,IN,46217,(317) 880-3308,,Full,Public ,In-Person
Indiana Minority Health Coalition,3737 North Meridian St.,Suite 300,Indianapolis ,IN,46208-4331,(317) 920-4951,http://www.imhc.org,Full,Public ,In-Person
Indianapolis Healthplex,3660 Guion Rd.,,Indianapolis ,IN,46222,(317) 920-7400,,Pending,Public Employees Members ,In-Person
IUHP Diabetes Center DPP,1730 N Capitol Ave.,Suite B437,Indianapolis ,IN,46202,(317) 962-3451,,Full,Public Employees ,In-Person
Prime Movement Healthcare,55 Monument Cir.,Ste. 705,Indianapolis ,IN,46204,(317) 558-9410,,Pending,Public Employees Members Other ,Distance Learning
St. Vincent Medical Group,"250 West 96th St., suite 520",,Indianapolis ,IN,46260,(317) 269-6004,,Preliminary,Public ,In-Person
YMCA of Greater Indianapolis,"615 N. Alabama Street, Suite 200",,Indianapolis,IN,46204,(317) 266-9622,http://www.indymca.org/classes-programs/prevention-programs-adult-wellness/,Full,Public Employees ,In-Person
Memorial Hospital and Health Care Ctr Diabetes Mg,"721 W 13th St., Suite 102",,Jasper ,IN,47546,(812) 996-0521,http://www.mhhcc.org/,Full,Public ,In-Person
La Porte Hospital,1007 Lincolnway,,La Porte,IN,46350,(219) 325-7632,,Pending,Public ,In-Person
The Methodist Hospitals Diabetes Center,303 East 89th Ave.,,Merrillville ,IN,46410,(219) 738-5802,http://www.methodisthospitals.org,Full,Public Employees ,In-Person
Saint Joseph Health System - Outreach Services,215 W. 4th St.,LL201,Mishawaka ,IN,46544,(574) 335-7954,http://www.sjmed.com/body.cfm?id=235&fr=true,Full,Public ,In-Person
Ball State University - Healthy Lifestyle Center,2000 W. University Ave.,HB Room #166,Muncie ,IN,47306,(765) 285-8157,,Pending,Public Employees ,In-Person
Franciscan Physician Network,221 US Highway 41,Suite A,Schererville,IN,46375,(219) 865-3612  Ext: 2 ,,Full,Public ,In-Person
"Major Hospital, A Major Health Partner",150 W. Washington  St.,,Shelbyville ,IN,46176,(317) 398-5315,,Full,Public ,In-Person
Mahogany Maternity,P.O. Box 2648,,South Bend,IN,46680,(574) 383-1743,,Pending,Public ,Distance Learning
"Young Men Christians Association of Michiana, INC.","1201 Northside Blvd. South Bend, IN 46615",,South Bend,IN,46615,(574) 287-9622,,Preliminary,Public ,In-Person
Owen County Family YMCA,1111 West State Hwy. 46,,Spencer ,IN,47460,(812) 828-9622  Ext: 21 ,,Pending,Public ,In-Person
NuStart Health,797 S Wabash St.,,Wabash ,IN,46992,(260) 563-0700,,Pending,Public ,In-Person
NuStart Health,797 S WABASH St.,,Wabash ,IN,46992,(260) 563-0700,,Pending,Public ,Combination
Patterson Health Center,485 North KS-2,,Anthony ,KS,67003,(620) 914-1200,,Pending,Public ,In-Person
Derby Recreation Commission,801 East Market,,Derby ,KS,67037,(316) 788-3781,,Full,Public ,In-Person
Haag Pharmacy,1400 W 12th Ave.,,Emporia ,KS,66801,(620) 342-1242,,Pending,Public Employees Other ,In-Person
Hiawatha Community Hospital,300 Utah St.,,Hiawatha ,KS,66434,(785) 742-6308,,Preliminary,Public Employees ,In-Person
Hutchinson Clinic Diabetes Prevention Program,2101 N. Waldron,,Hutchinson ,KS,67502,(620) 669-2500,,Full,Public ,In-Person
Juntos Center for Advancing Latino Health,4125 Rainbow Blvd. Suite 100 MS 1056,,Kansas ,KS,66160,(913) 725-8676,http://juntosks.org/,Full,Public ,In-Person
Center for Physical Activity & Weight Management,2106 Olathe Blvd.,,Kansas City,KS,66160,(913) 945-8184,,Pending,Public ,Distance Learning
University of Kansas Hospital-Adult Refugee Clinic (Wyandotte County),3901 Rainbow Blvd.,,Kansas City,KS,66160,(913) 945-8679,http://www.kumed.com,Preliminary,Public ,In-Person
Haskell Indian Health Center,2415 Massachusetts St.,,Lawrence ,KS,66046,(785) 843-3750,https://www.ihs.gov/oklahomacity/healthcarefacilities/haskell/,Preliminary,Public Employees ,In-Person
"McPherson Hospital, Inc.",1000 Hospital Dr.,,McPherson,KS,67460,(620) 241-2251  Ext: 179 ,http://www.mcphersonhospital.org,Full,Public ,In-Person
JCDHE,11875 S. Sunset Dr.,,Olathe ,KS,66061,(913) 477-8113,http://www.jocogov.org,Full,Public ,In-Person
JCDHE,11875 S. Sunset Dr.,,Olathe ,KS,66061,(913) 477-8113,,Pending,Public ,Distance Learning
JCDHE,11875 S. Sunset Dr.,,Olathe ,KS,66061,(913) 477-8113,,Pending,Public ,Combination
Nemaha Valley Community Hospital,1600 Community Dr.,,Seneca ,KS,66538,(785) 336-6181,,Pending,Public ,In-Person
Midland Care Connection,200  SW Frazier Cir.,,Topeka ,KS,66606,(785) 232-2044,http://www.midlandcareconnection.org/how-we-help/midland-care-diabetes-prevention-program,Preliminary,Public ,In-Person
Central Plains Area Agency on Aging,271 W. 3rd Street N. Ste 500,,Wichita ,KS,67202,(316) 660-7298,http://www.cpaaa.org,Full,Public ,In-Person
Via Christi Health Alliance in Accountable Care Inc.,8200 E. Thorn,,Wichita ,KS,67226,(316) 719-1431,http://www.healthieryou.org,Full,Employees ,In-Person
Via Christi Health Alliance in Accountable Care Inc.,8200 E. Thorn,,Wichita ,KS,67226,(316) 719-1431,http://www.healthieryou.org,Full,Employees ,Distance Learning
Juniper Health,141 Main St.,,Beattyville ,KY,41311,(606) 464-0151,http://juniperhealth.org,Full,Public ,In-Person
